publication_date;update_date;location;title;vehicles_involved;casualties;injured;reason;sequence_of_actions;district
20231025;NA;Pabna;Pabna road accident leaves 2 dead;truck;[];[];The accident occurred due to a collision between a truck, a CNG-run auto-rickshaw, and a shallow engine.;1. The truck, CNG-run auto-rickshaw, and shallow engine crashed into each other. 2. Two passengers of the auto-rickshaw were killed on the spot. 3. Two other passengers were injured. 4. The injured were taken to Rajshahi Medical College and Hospital. ;Pabna Sadar Upazila
20231117;NA;Munshiganj;Two killed as bus hits road divider in Munshiganj;;['Two'];[];The accident happened because the speeding bus lost control and collided with the road divider.;Sequence of actions: 1. The Dhaka-bound bus lost control at around 7:15 am on Friday. 2. The bus collided with the road divider on Bangabandhu Expressway in Munshiganj's Srinagar upazila. 3. Two people were killed and seven others were injured in the incident.  Reason:;Munshiganj District
20231106;NA;Chattogram;Elderly man dies as train hits him in Ctg ;train;['one'];[];The accident happened because the man was hit by a speeding train on the railway track.;1. The deceased, Farid Ahamad, was found lying on the railway track in front of BSRM Factory in the Sonapahar area. 2. Locals spotted the body and informed the police. 3. Police recovered the body and sent it to Chattogram Medical College and Hospital morgue for autopsy. 4. Police suspected that Farid might have died after being hit by a train. ;Chattogram District
20230916;20230916;Narsingdi;Narsingdi road crashes leave 6 dead;car, microbus, truck;['Six', 'three'];['one'];Speeding truck crashed into vehicles on Dhaka-Sylhet highway.;1. A truck rammed a microbus on the highway at Srifulia in Shibpur upazila at 2 am. 2. Three people were killed and seven others injured. 3. The accident occurred when the speedy truck hit the Narayanganj-bound microbus from Sylhet. 4. The victims were returning from a shrine in Sylhet. ;Narsingdi District
20230911;NA;Magura;Magura road crash leaves 2 dead;;['one'];[];The accident happened due to the bus hitting the motorbike while crossing the highway.;1. Speeding bus crashes into a motorbike on Dhaka-Khulna Highway. 2. Anwar Hossain is killed instantly in the accident. 3. Rokeya Begum is killed while trapped between the bus and a stationary ambulance. 4. Bodies sent to Sadar Hospital morgue for autopsy, bus seized, and case lodged. ;Bogura District
20231119;NA;Chattogram;2 motorcyclists killed in Chattogram road crash;;['Two'];[];The accident happened due to a head-on collision between the pick-up van and the motorbike.;1. A pick-up van hit the motorbike of two motorcyclists on Chattogram-Cox's Bazar Highway. 2. The motorbike was coming from the opposite direction. 3. One motorcyclist died on the spot and another was injured. 4. The injured motorcyclist died on the way to a local hospital. ;Chattogram District
20231217;NA;Sylhet;Two motorcyclists killed in Sylhet road crash;motorcycle, motorcycles;['Two'];['one'];Head-on collision between the two motorcycles.;1. Al-Amin was riding his motorcycle from Tamabil Point to Naljuri. 2. Imon and Saidul were riding another motorcycle from Jaintapur to Jaflong. 3. The two motorcycles collided in front of Tamabil police outpost on Tamabil-Sylhet highway. 4. Al-Amin and Shakil were declared dead at Jaintapur Upazila Health Complex. ;Unknown District
20230929;20230929;Barishal;2 workers die being crushed under wheels of truck in Barishal;truck;['Three', 'two'];[];Workers were crushed under the wheels of a sand-laden truck due to an accident caused by the sudden reversal of the truck.;1. Yunus, Habib, and some other workers were working to move the stuck truck. 2. The truck suddenly reversed and Yunus and Habib were crushed under its wheels. 3. Yunus and Habib died on the spot.;Unknown District
20230724;20230724;Narayanganj;"Fire service truck driver dies of stroke behind the wheel; collision with multiple vehicles leaves rickshaw-puller dead";car, truck;['one'];[];The accident occurred due to the driver of the fire service truck suffering a stroke while driving.;1. Fire service truck driver Jahangir Hossain suffered a stroke while behind the wheel. 2. Fire service truck collided with a rickshaw and two other vehicles. 3. Rickshaw-puller was killed and eight people were injured in the accident. 4. Accident occurred at Chashara crossing of Narayanganj around 10:30 am. ;Narayanganj District
20230824;NA;GAIBANDHA;Traffic police killed in Gaibandha road crash;car, truck;[];[];Failure to maintain proper distance and attention while driving.;Sequence: 1. The traffic police constable, Md Biplab, was performing his duty near police café point. 2. A sand-laden truck from Palashbari hit the motorbike carrying Biplab. 3. Biplab was killed on the spot due to the collision.  Reason:;Jamalpur District
20230901;NA;BAGERHAT;Man, daughter dies as truck collides with motorcycle in Bagerhat;motorcycle, truck;['one'];['one'];The accident happened due to a collision between the motorcycle and a truck on the highway.;1. Sohel and his family were riding a motorcycle on the Bagerhat-Khulna highway. 2. The motorcycle collided with a truck in the Piljong area of Fakirhat. 3. Sohel and his daughter, Nourin, died in the accident. 4. Sohel's wife, Mimi, and son, Nausheen, were injured in the collision. ;Bagerhat District
20230719;NA;NA;Youth die in Jatrabari road crash;;['one'];[];The accident happened because the man was hit by an unknown vehicle while passing the college.;1. The man was hit by an unknown vehicle while passing Jatrabari Mahbubur Rahman Molla College. 2. The man was left injured and was later taken to Dhaka Medical College and Hospital. 3. The man was declared dead by doctors at Dhaka Medical College and Hospital.;Unknown District
20230908;NA;Chapainawabganj;Autorickshaw driver dies as truck hits him in Chapainawabganj;autorickshaw, truck;['one'];['one'];The accident happened due to the truck hitting the autorickshaw from behind.;1. The truck hit the autorickshaw from behind. 2. Rabiul Islam died on the spot. 3. Selim was injured and rescued by locals. 4. The police went to the spot, seized the truck, and arrested the driver. ;Chapai Nawabganj District
20230826;NA;Chittagong;Road crash leaves autorickshaw driver dead on Dhaka-Chattogram highway in Sitakunda;autorickshaw;['one'];[];Speeding bus collided with autorickshaw while it was refueling and about to take the highway.;1. The autorickshaw was refueling at a fuel station in Bashbaria area. 2. The autorickshaw was about to take the highway. 3. The speeding bus collided with the autorickshaw. 4. The bus ran over the autorickshaw, killing the driver. ;Chattogram District
20230906;NA;NA;3 dead as bus crashes into broken-down truck in Munshiganj;car, truck;[];[];Speeding bus crashed into a broken-down truck causing the accident.;Sequence: 1. Bus crashed into a broken-down truck on Dhaka-Mawa Expressway. 2. Bus overturned after hitting the railing. 3. Three people dead on the spot and 12 injured. Reason:;Unknown District
20230720;20230720;Sylhet;Microbus-three wheeler collision leaves 7 dead in Sylhet;microbus;['one'];['one'];Microbus lost control due to a punctured front right tyre.;1. Microbus front right tyre punctured 2. Microbus lost control 3. Microbus collided with CNG auto-rickshaw 4. Two vehicles fell into a roadside canal ;Unknown District
20230829;NA;Narayanganj;Unidentified man killed in N'ganj road crash;;['one'];[];The accident occurred due to a vehicle hitting the man.;1. An unknown vehicle hit the man near PTK filling station at around 1:15am. 2. The man was critically injured and rushed to Dhaka Medical College Hospital. 3. The man was declared dead around 3:50am. 4. The body was taken to the hospital morgue for an autopsy.;Narayanganj District
20230624;20230624;Faridpur;Microbus cylinder blast leaves 7 dead in Faridpur;microbus;[];[];The accident occurred due to the explosion of the gas cylinder in the microbus.;1. The gas cylinder of a microbus exploded on Dhaka-Khulna highway at Maligram in Bhanga upazila of Faridpur district. 2. A fire broke out in the microbus as its gas cylinder went off, leaving five people dead on the spot and three others injured. 3. Two passengers succumbed to their injuries at Bangabandhu Sheikh Mujibur Rahman Medical College (BSMMC) Hospital. 4. The injured microbus driver Mridul Malo is undergoing treatment at BSMMC hospital. ;Faridpur District
20230609;NA;DHAKA;408 deaths in 491 road accidents in May: Road Safety Foundation;car, cars, microbus, motorcycle, truck;['four'];[];Lack of road safety measures and adherence to traffic rules.;1. In May, there were 491 road accidents in the country, leaving 408 people dead and 631 injured. 2. As many as 141 people were dead in 156 motorcycle accidents, accounting for 34.55 percent of the total deaths. 3. Seventy-two drivers and their assistants were dead in road accidents last month, which is 17.64 percent of the total. 4. According to the Road Safety Foundation's monitoring and analysis, 165 (33.60%) of the accidents occurred on national highways, 201 (40.93%) on regional roads, 73 (14.86%) on rural roads, 48 (9.77%) on urban roads and 4 (0.81%) in other places, it said. ;Dhaka District
20230716;20230716;NA;Lawyer killed as bus hits motorbike on Hanif flyover in Dhaka;car;['one'];['one'];Bus hit the motorbike on the flyover, causing fatal injuries to Parveen Sultana.;1. A bus of ‘Lovely Paribahan’ hit a motorbike on Hanif flyover in Dhaka’s Jatrabari area. 2. Parveen Sultana and her nephew Shakhawat Hossain Himel were injured in the accident. 3. Parveen Sultana was declared dead by doctors at Dhaka Medical College and Hospital. 4. The accident occurred while Parveen Sultana was returning to Dhaka after appearing before a court in a land dispute case. ;Unknown District
20230607;20230607;NA;14 dead as truck collides with pickup van carrying construction workers in Sylhet;car, truck;[];[];Head-on collision between truck and pickup van carrying construction workers.;1. The sand-carrying truck collided with a pickup van carrying construction workers in Kutubpur area. 2. The accident occurred around 5:30 am on Sylhet-Dhaka highway at Nazir Bazar in Dakkhin Surma upazila. 3. 11 people were dead and 12 others injured in the accident. 4. The injured were taken to Sylhet Osmani Medical College and Hospital where doctors declared four of them dead. ;Unknown District
20230715;NA;NA;Mother, son among 5 killed in Bogura road crashes;car, truck, trucks;['one'];['one'];The accidents occurred due to collisions between vehicles on the highway.;1. Two trucks collided head-on on Bogra-Naogaon regional highway at Murail. 2. Three people, including Mostaque and Rafiqul Islam, were killed on the spot. 3. A truck hit a motorbike on Dhaka-Bogra highway at Katabaria. 4. Zakia Akter Tasli and her son Tashfian Rahman were killed, while husband Mostafizur Rahman Mithu was injured. ;Unknown District
20230712;20230712;NA;Hit by bus, on-duty traffic police constable dies in Ctg;;['one'];[];Negligence of the bus driver.;1. The bus hit Nurul Karim while he was performing his duty at Sholoshohor in Chattogram’s Panchlaish area.;Unknown District
20230621;NA;NA;Man dies after being hit by bus in Dhaka’s Jatrabari;car;['one'];[];The accident happened because Alauddin Molla was hit by a bus while crossing the road.;1. Alauddin Molla, a private car driver, was hit by a Dhaka-bound bus of ‘Nagar Paribahan’ at Kajla in Jatrabari area. 2. Alauddin Molla was left injured and was taken to Dhaka Medical College and Hospital. 3. Doctors declared Alauddin Molla dead at around 10:30 am.;Unknown District
20230605;NA;NA;4 killed as truck rams into auto-rickshaw in Naogaon;truck;['one'];[];The accident happened due to the speeding truck hitting the auto-rickshaw.;1. The truck hit the CNG-run auto-rickshaw on Naogaon-Rajshahi highway at Bagchara in Mahadebpur upazila of Naogaon district. 2. The accident occurred around 1 pm. 3. Four passengers of the auto-rickshaw were killed on the spot and one was injured. 4. The CNG-run auto-rickshaw got twisted following the accident. ;Unknown District
20230628;20230628;NA;2 dead as bus overturns on Bogura-Rangpur highway;;[];['one'];The accident occurred due to the bus hitting a road divider.;1. Bus of ‘Boishakhi Paribahan’ overturned after hitting a road divider 2. Two people were dead and two were injured  3. The injured were taken to a local hospital 4. The deceased was identified as Al Amin, 15, of Mithapukur upazila in Rangpur district ;Unknown District
20230527;NA;NA;3 women killed as truck hit pick-up van in Habiganj;car, truck;['Three'];['one'];A stone-laden truck crashed into the pick-up van due to a collision on the highway.;1. Pick-up van carrying devotees was heading towards the shrine of Hazrat Shahjalal(Rh) on Dhaka-Sylhet highway. 2. Stone-laden truck crashed into the pick-up van near Mouchak Mohona Community Centre. 3. Three women were killed on the spot and 10 others were injured. 4. Injured were taken to Sadar Hospital. ;Unknown District
20230604;20230604;Dhaka;India train accident: 2 Bangladeshis receiving treatment in hospital, says deputy high commissioner;train, trains;[];['two'];The accident occurred due to the derailment of two passenger trains in eastern India.;1. Two Bangladeshi passengers were injured in a train crash in India on June 2, 2023. 2. Families of four other Bangladeshi passengers reported them as missing following the accident. ;Dhaka District
20230603;20230603;NA;India train crash: some Bangladeshis suffered minor injuries, says deputy high commission;cars, train, trains;[];[];4. The reason for the accident was not provided in the text.;1. Two passenger trains derailed in India last night. 2. The train accident happened about 220 km southwest of Kolkata. 3. About 900 people were injured in the accident in Balasore district in the state of Odisha.;Unknown District
20230503;NA;Dinajpur;2 dead after truck hits van in Dinajpur;truck;['Two'];[];The accident happened because a truck hit the van while Abul Kalam was driving it.;Sequence: 1. Abul Kalam and his nephew Ashraful Islam were collecting polythene in a van. 2. A truck hit their van. 3. Abul Kalam and Ashraful Islam died in the accident.  Reason:;Dinajpur District
20230426;NA;Dhaka;One dead, 2 injured as bike falls into ditch on Dhaka-Mawa highway  ;;[];['one'];Loss of control of the motorbike.;1. Motorbike lost control and fell into a roadside ditch 2. Accident occurred around 9:30 pm 3. Locals rushed them to Dhaka Medical College and Hospital where Al-Amin was declared dead 4. One of the injured was sent to National Institute of Traumatology and Orthopaedic Rehabilitation Hospital ;Dhaka District
20230524;NA;NA;College teacher killed as bus runs over him in Bogura;;['one'];[];The accident happened because the bus hit the college teacher while he was crossing the road.;1. The college teacher, Hafizur Rahman, was crossing the road on Bogura-Rangpur highway at Jhopgari. 2. A Rangpur-bound bus hit Hafizur while he was crossing the road. 3. Hafizur Rahman was killed on the spot due to the impact of the bus. 4. The driver and his helper of the bus managed to flee the scene. ;Unknown District
20230531;NA;NA;3 killed in Panchagarh road crash;car;['Three', 'two'];['one'];The accident occurred due to a collision between a wood-laden tractor and a motorbike carrying four people.;1. A wood-laden tractor crashed into a motorbike carrying four people. 2. Two motorcyclists were killed on the spot. 3. The injured victims were taken to Debiganj Upazila Health Complex and then shifted to Rangpur Medical College and Hospital. 4. Another victim succumbed to his injuries at the hospital. ;Unknown District
20230406;NA;NA;Motorcyclist, pillion rider killed in Sylhet road crash;car, truck;['Two'];['one'];Triangular collision among a truck, a pick-up van carrying police, and a motorbike on the road led to the accident.;1. Truck collides head-on with police pick-up van 2. Motorbike crashes into the truck 3. Biker on the motorbike dies on the spot 4. Two others injured, one declared dead at the hospital;Unknown District
20230409;20230410;Dhaka;579 people killed in motorcycle accidents in 3 months: SCRF;motorcycle, motorcycles;['1,484', '579', '489'];['2,485'];Multiple reasons including unfit vehicles, unskilled drivers, reckless driving, and dilapidated roads led to the accidents.;1. Unfit vehicles, unskilled and physically unfit drivers, reckless driving, and overtaking 2. Drivers and helpers’ mental exhaustion 3. Non-fixed weekly holiday and working hours 4. Dilapidated roads at different places, significant number of risky turning points on national highways and inter-district roads ;Dhaka District
20230420;NA;NA;4 dead in Munshiganj as bus hits truck;truck;[];['one'];The accident happened because the bus hit a parked truck on the expressway.;1. The bus hit a parked truck on Bangabandhu Expressway at Shologhar in Sreenagar upazila of Munshiganj district. 2. Two people died on the spot and two others were injured. 3. The injured were taken to a local hospital but were declared dead by doctors. 4. The accident occurred around 8:45 am. ;Unknown District
20230323;NA;NA;2 dead as truck hits three-wheeler in Mymensingh;truck;['Two'];['one'];The accident happened due to a collision between the truck and the CNG-run auto-rickshaw.;Sequence: 1. A truck hit a CNG-run auto-rickshaw on Mymensingh-Netrakona road. 2. The accident occurred at around 10:30 pm in Charpara Madrasa area. 3. Two people were killed and three were injured in the accident.  Reason:;Unknown District
20230319;20230319;Madaripur;Bus falls into ditch in Madaripur: Death toll now 19;;['one'];[];Speeding might have caused the accident that led to the casualties.;1. The bus driver lost control over the wheel on the approach road of Padma Bridge. 2. The bus fell into a roadside ditch in Madaripur's Shibchar upazila. 3. 14 people, including the bus driver, died on the spot. 4. Two more people died on the way to the hospital. ;Madaripur District
20230420;20230420;NA;9 killed in road crashes in 3 districts;car, truck;['one', 'two'];['one', 'two'];Lack of proper road safety measures and risky overtaking maneuvers led to the accidents.;1. A bus hit a parked truck on Bangabandhu Expressway at Shologhar in Sreenagar upazila of Munshiganj district in the morning. 2. The bus hit the stationary truck, leaving two dead on the spot and injured two others. 3. A bus hit a three-wheeler carrying four people while overtaking a bus at Uchitpur in Chirirbandar upazila of the district. 4. A motorbike carrying Imon Hossain plunged into a roadside ditch after hitting an electric pole at Jagadishpur area in Naldanga upazila. ;Unknown District
20230426;NA;NA;Man, nephew killed in Dinajpur road crash;car;['one'];[];The accident happened due to a collision between the bus and the motorbike.;1. The man and his nephew were riding a motorbike towards their workplace. 2. A bus rammed into the motorbike on Dinajpur-Phulbari road at Chuniapara. 3. The man and his nephew were killed in the accident. 4. Police recovered the bodies and sent them to a local hospital morgue. ;Unknown District
20230324;NA;Cumilla;Two dead, 2 injured as bus hits autorickshaw in Cumilla;;['one'];['one'];The accident occurred due to the bus hitting the battery-run auto-rickshaw.;1. A Cumilla-bound bus of Tisha Paribahan hit the auto-rickshaw in Dighirpar area on the Dhaka-Chattogram highway around 11:30 am. 2. Jotsna Begum died on the spot. 3. Yakub Ali died on the way to the hospital.;Cumilla District
20230324;NA;Dhaka;Elderly man killed in city bus accident;;['one'];[];The accident happened because the bus hit the man while he was crossing the road.;1. The 70-year-old man was crossing the road at Gulistan GPO Maingate intersection. 2. The bus of Welcome Paribahan hit him while he was crossing. 3. Police officers rushed him to Dhaka Medical College and Hospital. 4. The doctors pronounced him dead at around 7:15 p.m. ;Dhaka District
20230318;NA;NA;Pirojpur road accident takes 5 lives;;[];[];Tire bursting causing loss of control and a head-on collision with the bus.;1. A group of 18 people were traveling in a locally-made motorized vehicle to provide catering service at a wedding program. 2. The wheel of the motor-vehicle blasted near Shankarpasha area. 3. The motor-vehicle collided head-on with a bus coming from the opposite direction. 4. Five people were killed in the accident, with two dead on the spot and three more succumbing to their injuries later. ;Unknown District
20230304;NA;Cox's BAzar;3 dead as bus collides with pick-up van in Cox's Bazar;motorcycle;[];[];The accident happened due to the pickup van trying to overtake a motorcycle.;1. Pickup van tried to overtake a motorcycle 2. Head-on collision occurred between the bus and the pickup van 3. Three people died and six were injured 4. Incident happened at Aziznagar-12 bridge area on Chattogram-Cox's Bazar highway ;Cox's Bazar District
20230218;20230218;Dhaka;Death of 3 Bangladeshi students in Canada: Body of one victim to arrive in Dhaka on Feb 24;car;['three'];['one'];The accident happened due to a tragic car crash in Toronto.;1. Three Bangladeshi international students died in a tragic car crash in Toronto on Monday night. 2. The families were informed and assured of assistance by the High Commission and the Consulate in Toronto. 3. The Consulate is in touch with Funeral Homes in Toronto for necessary arrangements to transport the bodies. 4. The High Commissioner advised on facilitating the process and arranging priority tickets for family members. ;Dhaka District
20230216;20230216;NA;woman, grandchild killed in city road crash;;[];[];The accident occurred due to a motorbike hitting the woman and her grandchild while they were crossing the road.;1. A motorbike hit Mazeda and her grandchild while they were crossing the road 2. Mazeda and her grandchild were critically injured 3. Rafia was taken to Dhaka Medical College and Hospital for better treatment but declared dead at 2:30 am 4. Mazeda succumbed to her injuries around 1:45 am ;Unknown District
20230304;NA;Natore;College student dies in Natore road accident;car, motorcycle;['one'];[];The accident happened due to a head-on collision between the motorcycle and the cattle-carrying vehicle.;1. College student Cesar Sarkar (18) was riding a motorcycle in Mougram area.  2. The motorcycle collided head-on with a cattle-carrying locally customised vehicle, “Nosimon”. 3. Cesar Sarkar was critically injured in the accident and was taken to the Upazila Health Complex where he was declared dead.  ;Natore District
20230226;NA;Joypurhat;One dead, 2 injured in motorcycle, bicycle crash in Joypurhat;motorcycle;['one'];['one'];Failure to maintain proper distance and caution while on the road.;Sequence: 1. Mahfuzur and his nephew were on their way to Kalai Sadar upazila. 2. Their motorbike collided with a bicycle in the Thushi Gari Mor area. 3. The accident left Mahfuzur dead on the spot. Reason:;Joypurhat District
20230223;NA;NA;University student killed in Jatrabari road crash;;['one'];['one'];Bus hit the motorbike, causing it to skid off the road.;1. Bus rammed the motorbike near Kajla Bhanga Bridge in Jatrabari area. 2. Motorbike skidded off the road. 3. Omar Faruk Palak, the motorcyclist, was declared dead at the hospital. 4. Police sent Omar's body to the hospital morgue. ;Unknown District
20230228;20230228;Feni;Bangladeshi injured in South Africa road accident dies at hospital;;['one', 'five'];[];The accident happened due to a road accident in South Africa.;1. Anisul Haque Milan, who was living in South Africa, was injured in a road accident on February 24. 2. Milan was being treated at South Africa's George Hospital after the accident. 3. Anisul Haque Milan died in a South African hospital on Monday night. 4. The death toll from the accident now stands at six, all from the Feni district. ;Feni District
20230303;NA;Dhaka;"Two killed as pickup van rams auto-rickshaw in Dhaka; 3 injured";;['Two'];['two'];Speeding pickup van rammed into CNG-run auto-rickshaw causing the accident.;1. Speedy pickup van hits CNG-run auto-rickshaw in Rayerbag area around 6:30 am. 2. CNG driver Md Akbar Hossain and pedestrian Md Hasan are injured. 3. Md Akbar Hossain is declared dead on arrival at Dhaka Medical College Hospital. 4. Md Hasan succumbs to his injuries at 9:30 am. ;Dhaka District
20230119;20230119;Cumilla;Cumilla road crash leaves 2 dead;;['Two'];[];The accident occurred because an unknown vehicle hit the pedestrians while they were crossing the road.;1. Jahangir Mia and Farid Mia were crossing the road near Zaman Brick Field area. 2. An unknown vehicle hit them while they were crossing the road. 3. Jahangir Mia and Farid Mia were killed on the spot. 4. Police recovered the bodies and sent them to a local hospital morgue for autopsy. ;Cumilla District
20230122;20230122;NA;"3 dead as bus hits motorbike in Faridpur; Bus set ablaze";;['one'];[];The accident occurred due to a head-on collision between the bus and the motorbike.;1. The bus hit the motorbike coming from the opposite direction. 2. Two riders were killed on the spot and the girl was injured. 3. The injured girl was taken to a local hospital where she was pronounced dead. 4. Agitated local people put up barricades on the road and set the bus on fire. ;Unknown District
20230119;NA;Gazipur;Truck mows down three motorcycle riders in Gazipur ;motorcycle, truck;['one'];[];The accident happened because a speeding truck ran over the motorcycle riders after they fell off their vehicle.;1. Three motorcycle riders fall off their vehicle in the Chukkabari area. 2. A speeding truck runs over the bikers. 3. Bachhiron dies from the impact of the crash, Nusrat and Babul succumb to their injuries. 4. The truck driver flees the scene. ;Gazipur District
20230126;NA;NA;Biker dead after motorcycle skids off road at Dhaka’s Hatirjheel;;['one'];[];The accident occurred due to the biker losing control over the two-wheeler.;1. The motorbike skidded off the road 2. The biker lost control over the two-wheeler 3. The biker was injured 4. The biker succumbed to his injuries ;Unknown District
20230203;20230203;Jahangirnagar University;JU student in coma after being hit by, dragged under bike around campus;;[];[];The accident happened due to a bike hitting Jahid from behind and dragging him, causing severe injuries.;"1. Jahid was walking to ""Gerua"" near campus at 7:30 pm. 2. The bike driven by Ferdous Mahamud Neon hit Jahid from behind and dragged him several yards. 3. Jahid was taken to the university medical centre and then to Enam Medical College Hospital. 4. Jahid is currently on life support with severe injuries. ";Dhaka District
20230124;NA;Dhaka;Rickshaw puller killed in Dhaka's Kakrail as pickup van hits his vehicle;;['one'];[];The accident occurred due to a speeding pickup van crashing into the rickshaw.;1. Speeding pickup van hits rickshaw in front of Judges Complex in Kakrail. 2. Tajul Islam, the rickshaw puller, is critically injured. 3. Tajul Islam is rushed to Dhaka Medical College Hospital. 4. Tajul Islam is declared dead at the hospital. ;Dhaka District
20230127;NA;Dhaka;Youth crushed under wheels of train in Mohakhali;train;[];[];The accident happened because the victim was crossing the train track while distracted by his mobile phone.;1. The victim was crossing the train track while on his mobile phone. 2. The Kamalapur-bound train ‘Agnebeena’ hit the victim. 3. The impact of the accident severed the victim's body into two parts. 4. The body was recovered and sent to Dhaka Medical College Hospital morgue for autopsy. ;Dhaka District
20230123;20230123;Dhaka;Driver, helper arrested over university student’s death in Dhaka road crash;car, motorcycle;['one'];[];Negligence and reckless driving led to the accident.;1. The bus driven by Md Liton and with Abul Khair as helper hit the motorcycle carrying Nadia, a female student of Northern University near Jamuna Future Park.  2. Nadia, a 4th year Pharmacy department student, died in the accident. 3. Md Liton and Abul Khair were arrested from Badda area in the city on Monday. 4. The bus involved in the accident was seized by the police.  ;Dhaka District
20230214;20230214;Dinajpur;College student killed in Dinajpur road crash;motorcycle, truck;['one'];[];Collision between the truck and motorcycle led to the fatal accident.;1. Omar Faruq was riding his motorcycle to college in the Chandpur area. 2. A truck hit Omar, causing fatal injuries. 3. Police recovered Omar's body and seized the truck. 4. The accident occurred due to the truck mowing Omar down with his motorcycle. ;Dinajpur District
